gagename,first_noflow_date,last_noflow_date,total_noflow_days
Granada (CO),NA,NA,NA
Garden City,2017-12-25,2018-01-11,18
Garden City,2018-04-04,2018-04-06,3
Garden City,2018-04-08,2018-04-19,12
Garden City,2018-04-21,2018-04-23,3
Garden City,2018-04-26,2018-05-14,19
Garden City,2018-05-16,2018-05-17,2
Garden City,2018-05-20,2018-05-22,3
Garden City,2018-05-24,2018-05-27,4
Garden City,2018-05-30,2018-06-19,21
Garden City,2018-06-21,2018-06-21,1
Garden City,2018-06-26,2018-07-22,27
Garden City,2018-07-24,2018-07-25,2
Garden City,2018-07-30,2018-07-30,1
Garden City,2018-08-09,2018-08-17,9
Garden City,2018-08-20,2018-08-20,1
Garden City,2018-08-23,2018-09-03,12
Garden City,2018-09-08,2018-09-19,12
Garden City,2018-09-21,2018-10-06,16
Garden City,2018-10-10,2018-10-11,2
Garden City,2019-04-01,2019-04-30,30
Garden City,2019-05-02,2019-05-05,4
Garden City,2019-05-09,2019-05-19,11
Garden City,2019-05-22,2019-05-22,1
Garden City,2019-05-24,2019-05-24,1
Garden City,2019-05-28,2019-05-30,3
Garden City,2019-06-08,2019-06-16,9
Garden City,2019-06-19,2019-06-22,4
Garden City,2019-06-24,2019-07-19,26
Garden City,2019-07-22,2019-07-30,9
Garden City,2019-08-01,2019-08-07,7
Garden City,2019-08-09,2019-08-10,2
Garden City,2019-08-12,2019-08-12,1
Garden City,2019-08-14,2019-08-30,17
Garden City,2019-09-01,2019-11-12,73
Garden City,2019-11-28,2019-11-28,1
Garden City,2019-12-20,2019-12-20,1
Garden City,2019-12-22,2019-12-22,1
Garden City,2019-12-25,2019-12-26,2
Garden City,2019-12-30,2020-01-16,18
Garden City,2020-01-18,2020-01-25,8
Garden City,2020-03-30,2020-06-27,90
Garden City,2020-06-29,2020-07-12,14
Garden City,2020-07-16,2020-07-19,4
Garden City,2020-07-21,2020-07-25,5
Garden City,2020-07-28,2020-07-28,1
Garden City,2020-07-31,2020-08-05,6
Garden City,2020-08-07,2020-08-28,22
Garden City,2020-08-30,2020-09-08,10
Garden City,2020-09-10,2020-11-20,72
Garden City,2020-11-22,2021-03-04,103
Garden City,2021-03-06,2021-03-12,7
Garden City,2021-03-15,2021-03-21,7
Garden City,2021-03-23,2021-05-01,40
Garden City,2021-05-04,2021-05-10,7
Garden City,2021-05-14,2021-05-14,1
Garden City,2021-05-20,2021-05-23,4
Garden City,2021-05-26,2021-05-29,4
Garden City,2021-06-01,2021-06-01,1
Garden City,2021-06-03,2021-06-20,18
Garden City,2021-06-22,2021-07-05,14
Garden City,2021-07-07,2021-08-11,36
Garden City,2021-08-14,2021-09-02,20
Garden City,2021-09-05,2021-09-30,26
Dodge City,1988-10-01,1989-07-12,285
Dodge City,1989-07-14,1993-07-12,1460
Dodge City,1993-07-15,1995-07-18,734
Dodge City,1995-08-22,1996-01-16,148
Dodge City,1996-01-19,1996-06-01,135
Dodge City,1996-06-10,1996-06-11,2
Dodge City,1996-06-16,1996-06-25,10
Dodge City,1996-07-04,1996-07-23,20
Dodge City,1996-07-25,1996-07-28,4
Dodge City,1996-07-30,1996-08-03,5
Dodge City,1997-05-23,1997-05-24,2
Dodge City,1997-05-26,1997-05-27,2
Dodge City,1997-07-18,1997-08-05,19
