Time [days],well,recharge,river
233.0,-6.618060069473494e-06,0.00313790546368109,
234.0,-6.888131772137993e-06,0.003132285830136583,
235.0,-7.166582251618629e-06,0.0031266762607194964,
236.0,-7.453576325728607e-06,0.0031210767374066917,
237.0,-7.749279424455426e-06,0.0031154872422060054,
238.0,-8.053857536467453e-06,0.003109907757159136,
239.0,-8.367477155434315e-06,0.003104338264337869,
240.0,-8.690305226212577e-06,0.0030987787458484073,
241.0,-9.022509090931814e-06,0.003093229183827262,
242.0,-9.36425643501004e-06,0.003087689560443696,
243.0,-9.715715233154127e-06,0.003082159857898281,
244.0,-1.0077053695365583e-05,0.0030766400584245623,
245.0,-1.0448440212989168e-05,0.0030711301442869487,
246.0,-1.0830043304853196e-05,0.003065630097781824,
247.0,-1.1222031563513978e-05,0.0030601399012376573,
248.0,-1.162457360166135e-05,0.003054659537014115,
249.0,-1.203783799869838e-05,0.0030491889875026157,
250.0,-1.2461993247537021e-05,0.0030437282351263306,
251.0,-1.2897207701644507e-05,0.003038277262339073,
252.0,-1.3343649522356768e-05,0.00303283605162763,
253.0,-1.3801486626504743e-05,0.003027404585508209,
254.0,-1.427088663437029e-05,0.0030219828465303245,
255.0,-1.4752016818006986e-05,0.0030165708172735783,
256.0,-1.5245044049949825e-05,0.003011168480347881,
257.0,-1.575013475232901e-05,0.003005775818396894,
258.0,-1.6267454846451124e-05,0.0030003928140928116,
259.0,-1.6797169702803332e-05,0.002995019450140246,
260.0,-1.7339444091593853e-05,0.0029896557092745635,
261.0,-1.7894442133757626e-05,0.0029843015742614387,
262.0,-1.8462327252530806e-05,0.002978957027898299,
263.0,-1.904326212555889e-05,0.00297362205301277,
264.0,-1.9637408637582406e-05,0.002968296632463674,
265.0,-2.0244927833712087e-05,0.0029629807491395876,
266.0,-2.086597987333862e-05,0.002957674385961173,
267.0,-2.150072398462977e-05,0.0029523775258790685,
268.0,-2.2149318419709065e-05,0.0029470901518731107,
269.0,-2.2811920410491715e-05,0.0029418122469557773,
270.0,-2.348868612517068e-05,0.0029365437941695216,
271.0,-2.4179770625432106e-05,0.002931284776584997,
272.0,-2.4885327824337544e-05,0.0029260351773061632,
273.0,-2.560551044496998e-05,0.002920794979465624,
274.0,-2.6340469979746657e-05,0.002915564166226181,
275.0,-2.7090356650545048e-05,0.0029103427207815002,
276.0,-2.7855319369512522e-05,0.0029051306263543353,
277.0,-2.863550570069242e-05,0.002899927866198304,
278.0,-2.943106182237774e-05,0.0028947344235970007,
279.0,-3.0242132490269718e-05,0.002889550281863773,
280.0,-3.10688610014214e-05,0.002884375424341501,
281.0,-3.191138915894067e-05,0.0028792098344037065,
282.0,-3.2769857237546557e-05,0.0028740534954523334,
283.0,-3.364440394988829e-05,0.0028689063909208556,
284.0,-3.453516641368972e-05,0.002863768504270725,
285.0,-3.544228011970012e-05,0.0028586398189947015,
286.0,-3.636587890047888e-05,0.0028535203186124125,
