PDIV_ID,Year,WaterUse_m3
21071,2017,0
21071,2018,0
21071,2019,0
21242,1990,0
21242,1991,0
21242,1992,0
21242,1993,0
21242,1994,0
21242,1995,0
21242,1996,0
21242,1997,0
21242,1998,0
21242,1999,0
21242,2000,0
21242,2001,0
21242,2002,0
21242,2003,0
21242,2004,0
21242,2005,0
21242,2006,0
21242,2007,0
21242,2008,0
21242,2009,0
21242,2010,0
21242,2011,0
21242,2012,0
21242,2013,0
21242,2014,0
21242,2015,0
21242,2016,0
21242,2017,0
21242,2018,0
21242,2019,0
21280,1990,7045.7962204418545
21280,1991,18395.611300090917
21280,1992,48816.73457197558
21280,1993,16080.450408014283
21280,1994,50955.49504290969
21280,1995,40167.057269171295
21280,1996,99102.21084788471
21280,1997,0
21280,1998,25570.490232141365
21280,1999,0
21280,2000,25824.113155243293
21280,2001,61674.091877376006
21280,2002,56740.16452718593
21280,2003,55506.68268963841
21280,2004,29603.564101140484
21280,2005,45638.82798925825
21280,2006,39471.418801520646
21280,2007,62907.57371492353
21280,2008,30837.045938688003
21280,2009,60440.61003982849
21280,2010,62907.57371492353
21280,2011,66988.62774139004
21280,2012,28880.08010778329
21280,2013,31709.300596236648
21280,2014,49267.956250091236
21280,2015,51389.68234559313
21280,2016,10565.855268090745
21280,2017,39197.61203623992
21280,2018,36086.75654064055
21280,2019,35581.02486114179
21388,1990,9483.150365618943
21388,1991,7418.205521557779
21388,1992,634.5494119339539
21388,1993,2488.4572714737315
21388,1994,0
21388,1995,0
21388,1996,0
21388,1997,0
21388,1998,0
21388,1999,0
21388,2000,0
21388,2001,0
21388,2002,0
21388,2003,0
21388,2004,0
21388,2005,0
21388,2006,0
21388,2007,0
21388,2008,0
21388,2009,0
21388,2010,0
21388,2011,0
21388,2012,0
21388,2013,0
21388,2014,0
21388,2015,0
21388,2016,0
21388,2017,0
21388,2018,0
21388,2019,0
21391,1990,110628.04780700002
21391,1991,202686.35514282368
21391,1992,59134.266500432204
21391,1993,37611.90095433851
21391,1994,43380.87610071651
21391,1995,90955.99397452152
21391,1996,43671.59610809305
21391,1997,90895.42730631807
21391,1998,0
21391,1999,0
21391,2000,0
21391,2001,0
21391,2002,0
21391,2003,0
21391,2004,0
21391,2005,0
21391,2006,0
21391,2007,0
21391,2008,0
21391,2009,0
21391,2010,0
21391,2011,0
21391,2012,0
21391,2013,0
21391,2014,0
21391,2015,0
21391,2016,0
21391,2017,0
21391,2018,0
21391,2019,0
21704,1990,17945.146705327807
21704,1991,14726.40683199105
21704,1992,17268.74572566528
21704,1993,11101.336537927682
21704,1994,16035.263888117763
21704,1995,20723.945442501805
21704,1996,21645.126611708554
21704,1997,17819.31945213515
21704,1998,22261.657439851988
21704,1999,18394.47567506211
21704,2000,8947.968143706265
21704,2001,10647.6202701654
21704,2002,11190.449033938756
21704,2003,10886.101526216451
21704,2004,14442.122033111133
21704,2005,21706.71534243793
21704,2006,22147.337853617984
21704,2007,9848.140249879938
21704,2008,7411.088938043875
21704,2009,21553.40596354797
21704,2010,8291.198335375171
21704,2011,2263.6792241037106
21704,2012,1564.8912897064731
21704,2013,1447.9219117385799
21704,2014,3324.353001016517
21704,2015,6901.193300106134
21704,2016,17101.377308918578
21704,2017,3188.0779975587716
21704,2018,2510.1098553564716
21704,2019,4788.552204834767
21859,1990,154842.47267886638
21859,1991,160463.81657149823
21859,1992,28370.082263592965
21859,1993,141850.4113179648
21859,1994,201057.5395202458
21859,1995,190785.00484084702
21859,1996,91304.25231669132
21859,1997,45330.45752987137
21859,1998,122628.6526828493
21859,1999,135169.051364582
21859,2000,167136.78898768898
21859,2001,0
21859,2002,0
21859,2003,0
21859,2004,0
21859,2005,0
21859,2006,0
21859,2007,0
21859,2008,0
21859,2009,0
21859,2010,0
21859,2011,0
21859,2012,0
21859,2013,0
21859,2014,0
21859,2015,0
21859,2016,0
21859,2017,0
21859,2018,0
21859,2019,0
21912,1990,130619.59081425231
21912,1991,120944.06556875157
21912,1992,14899.400378047132
21912,1993,39860.43851139135
21912,1994,108474.9027523676
21912,1995,117294.92380949408
21912,1996,0
21912,1997,95301.6524181186
21912,1998,76475.87392794625
21912,1999,90044.17414096897
21912,2000,90044.17414096897
21912,2001,103612.4743539917
21912,2002,164053.08439382017
21912,2003,109779.8835417293
21912,2004,69074.98290266113
21912,2005,122114.7019172045
21912,2006,107312.91986663426
21912,2007,148017.82050570243
21912,2008,81409.80127813634
21912,2009,107312.91986663426
21912,2010,136002.45345083333
21912,2011,165286.5662313677
21912,2012,150484.78418079746
21912,2013,61674.091877376006
21912,2014,145550.85683060737
21912,2015,117180.77456701442
21912,2016,88810.69230342146
21912,2017,94978.10149115906
21912,2018,66608.0192275661
21912,2019,107312.91986663426
21920,1990,142816.20362372062
21920,1991,392208.5449516296
21920,1992,133133.1075446943
21920,1993,182667.14452445446
21920,1994,373645.27375770116
21920,1995,261920.55664579236
21920,1996,0
21920,1997,127530.69073587646
21920,1998,0
21920,1999,0
21920,2000,0
21920,2001,0
21920,2002,0
21920,2003,0
21920,2004,0
21920,2005,0
21920,2006,0
21920,2007,0
21920,2008,0
21920,2009,0
21920,2010,0
21920,2011,0
21920,2012,0
21920,2013,1989.9935921593906
21920,2014,0
21920,2015,0
21920,2016,0
21920,2017,0
21920,2018,0
21920,2019,0
22075,1990,79842.0103591896
22075,1991,240960.70403063763
22075,1992,0
22075,1993,0
22075,1994,158442.40402020866
22075,1995,126436.7052914508
22075,1996,145360.00368826528
22075,1997,46481.13242938029
22075,1998,46802.89285421109
22075,1999,147585.82874474095
22075,2000,125718.61173156377
22075,2001,91605.19294932717
22075,2002,155087.01060173794
22075,2003,137350.81890171225
22075,2004,69387.06780224641
22075,2005,138833.94518934435
22075,2006,14093.86369094133
22075,2007,135832.1096965108
22075,2008,68589.10194866605
22075,2009,113377.53890124288
22075,2010,132702.08768948697
22075,2011,117694.7253326592
22075,2012,130543.4944737788
22075,2013,132804.87784261676
22075,2014,148326.1909650893
22075,2015,131571.39600506925
22075,2016,175771.16185052163
22075,2017,136710.9036615164
22075,2018,0
22075,2019,0
22218,1990,161054.34158648158
22218,1991,200801.21759499187
22218,1992,79493.75201701981
22218,1993,116091.16127895065
22218,1994,216484.19924292073
22218,1995,39841.51142757779
22218,1996,169768.37097425258
