Date,WaterYear,stage_masl,stage_cd,discharge_cms,discharge_cd
1999-10-14,2000,593.854048,A,4.728913380864001,A
1999-10-15,2000,593.854048,A,4.7572302274560005,A
1999-10-16,2000,593.844904,A,4.615645994496001,A
1999-10-17,2000,593.83576,A,4.474061761536,A
1999-10-18,2000,593.838808,A,4.502378608128001,A
1999-10-19,2000,593.829664,A,4.360794375168001,A
1999-10-20,2000,593.82052,A,4.247526988800001,A
1999-10-21,2000,593.817472,A,4.190893295616001,A
1999-10-22,2000,593.814424,A,4.134259602432,A
1999-10-23,2000,593.811376,A,4.077625909248001,A
1999-10-24,2000,593.808328,A,4.049309062656,A
1999-10-25,2000,593.808328,A,4.020992216064001,A
1999-10-26,2000,593.802232,A,3.9360416762880006,A
1999-10-27,2000,593.802232,A,3.9360416762880006,A
1999-10-28,2000,593.799184,A,3.8794079831040005,A
1999-10-29,2000,593.799184,A,3.9077248296960008,A
1999-10-30,2000,593.802232,A,3.9360416762880006,A
1999-10-31,2000,593.796136,A,3.8510911365120006,A
1999-11-01,2000,593.793088,A,3.822774289920001,A
1999-11-02,2000,593.793088,A,3.822774289920001,A
1999-11-03,2000,593.793088,A,3.822774289920001,A
1999-11-04,2000,593.786992,A,3.7378237501440004,A
1999-11-05,2000,593.783944,A,3.6811900569600007,A
1999-11-06,2000,593.777848,A,3.5962395171840007,A
1999-11-07,2000,593.7748,A,3.5679226705920004,A
1999-11-08,2000,593.777848,A,3.5962395171840007,A
1999-11-09,2000,593.780896,A,3.6245563637760005,A
1999-11-10,2000,593.771752,A,3.5112889774080007,A
1999-11-11,2000,593.768704,A,3.4546552842240006,A
1999-11-12,2000,593.765656,A,3.4263384376320003,A
1999-11-13,2000,593.765656,A,3.4263384376320003,A
1999-11-14,2000,593.762608,A,3.3980215910400005,A
1999-11-15,2000,593.756512,A,3.3130710512640005,A
1999-11-16,2000,593.756512,A,3.2847542046720006,A
1999-11-17,2000,593.753464,A,3.2564373580800003,A
1999-11-18,2000,593.750416,A,3.2281205114880005,A
1999-11-19,2000,593.747368,A,3.1714868183040004,A
1999-11-20,2000,593.747368,A,3.1714868183040004,A
1999-11-21,2000,593.750416,A,3.2281205114880005,A
1999-11-22,2000,593.750416,A,3.2281205114880005,A
1999-11-23,2000,593.756512,A,3.2847542046720006,A
1999-11-24,2000,593.762608,A,3.3697047444480006,A
1999-11-25,2000,593.765656,A,3.4263384376320003,A
1999-11-26,2000,593.7748,A,3.5396058240000006,A
1999-11-27,2000,593.780896,A,3.6245563637760005,A
